ID,Year,JT,Age,OR_cal,IW_cal
TS_01,15,49,1,10.43231434,1.409731654
TS_01,15,49,2,11.84204599,1.677573165
TS_01,15,49,3,13.51961916,1.581540354
TS_01,15,49,4,15.10115951,1.801365461
TS_01,15,49,5,16.90252497,1.269433719
TS_01,15,49,6,18.17195869,1.004593233
TS_01,15,49,7,19.17655193,1.35121166
TS_01,15,49,8,20.52776359,1.461499341
TS_01,15,49,9,21.98926293,1.948415702
TS_01,15,49,10,23.93767863,1.990430057
TS_01,15,49,11,25.92810869,2.177243885
TS_01,15,49,12,28.10535257,2.771446902
TS_01,15,49,13,30.87679947,2.62439666
TS_01,15,49,14,33.50119613,3.232104292
TS_01,15,49,15,36.73330042,3.184838143
TS_01,15,49,16,39.91813857,4.279462136
TS_01,15,49,17,44.1976007,4.202185733
TS_01,15,49,18,48.39978644,3.710017577
TS_01,15,49,19,52.10980401,3.845063718
TS_01,15,49,20,55.95486773,4.921681559
TS_01,15,49,21,60.87654929,6.595503442
TS_01,15,49,22,67.47205273,6.134095796
TS_01,15,49,23,73.60614853,5.278803574
TS_01,15,49,24,78.8849521,5.530889703
TS_01,15,49,25,84.4158418,5.032719496
TS_01,15,49,26,89.4485613,5.28780665
TS_01,15,49,27,94.73636795,5.764969679
TS_01,15,49,28,100.5013376,6.245133734
TS_01,15,49,29,106.7464714,5.951783507
TS_01,15,49,30,112.6982549,5.652431229
TS_01,15,49,31,118.3506861,6.897106489
TS_01,15,49,32,125.2477926,6.795821884
TS_01,15,49,33,132.0436145,6.29089937
TS_01,15,49,34,138.3345138,6.187363996
TS_01,15,49,35,144.5218778,5.755216347
TS_01,15,49,36,150.2770942,8.107269958
TS_01,15,49,37,158.3843641,7.473303354
TS_01,15,49,38,165.8576675,7.713385382
TS_01,15,49,39,173.5710529,8.102018163
TS_01,15,49,40,181.673071,7.467301304
TS_01,15,49,41,189.1403723,8.38111352
TS_01,15,49,42,197.5214859,8.200301743
TS_01,15,49,43,205.7217876,10.43156408
TS_01,15,49,44,216.1533517,9.89588106
TS_01,15,49,45,226.0492328,10.7714302
TS_01,15,49,46,236.820663,9.627289293
TS_01,15,49,47,246.4479522,12.71684488
TS_01,15,49,48,259.1647971,11.29735989
TS_01,15,49,49,270.462157,10.14196514
TS_01,15,49,50,280.6041222,18.69713813
TS_01,15,49,51,299.3012603,18.09543255
TS_01,15,49,52,317.3966928,14.40867292
TS_01,15,49,53,331.8053658,11.76476959
TS_01,15,49,54,343.5701353,21.15197686
TS_01,15,49,55,364.7221122,17.5154844
TS_01,15,49,56,382.2375966,17.171867
TS_01,15,49,57,399.4094636,18.79767248
TS_01,15,49,58,418.2071361,16.43286451
TS_01,15,49,59,434.6400006,15.56856921
TS_01,15,49,60,450.2085698,10.39330101
TS_01,15,49,61,460.6018708,12.95317563
TS_01,15,49,62,473.5550464,14.26087242
TS_01,15,49,63,487.8159189,17.71805361
TS_01,15,49,64,505.5339725,12.06637264
TS_01,15,49,65,517.6003451,14.75904262
TS_01,15,49,66,532.3593877,16.88676959
TS_01,15,49,67,549.2461573,16.83200088
TS_01,15,49,68,566.0781582,14.72603135
TS_01,15,49,69,580.8041895,14.27137601
TS_01,15,49,70,595.0755655,15.51305024
TS_01,15,49,71,610.5886158,14.69302007
TS_01,15,49,72,625.2816359,10.85845994
TS_01,15,49,73,636.1400958,16.51014091
TS_01,15,49,74,652.6502367,16.64968859
TS_01,15,49,75,669.2999253,16.28206299
TS_01,15,49,76,685.5819883,14.51220829
TS_01,15,49,77,700.0941966,12.75285718
TS_01,15,49,78,712.8470538,13.19325765
TS_01,15,49,79,726.0403114,14.53471598
TS_01,15,49,80,740.5750274,15.83115893
TS_01,15,49,81,756.4061863,12.74160334
TS_01,15,49,82,769.1477897,14.51220829
TS_01,15,49,83,783.6599979,17.62427157
TS_01,15,49,84,801.2842695,15.84241277
TS_01,15,49,85,817.1266823,14.50095445
TS_01,15,49,86,831.6276367,13.24952688
TS_01,15,49,87,844.8771636,13.13623817
TS_01,15,49,88,858.0134018,14.08381192
TS_01,15,49,89,872.0972137,15.42527025
TS_01,15,49,90,887.522484,14.53471598
TS_01,15,49,91,902.0571999,12.77536487
TS_01,15,49,92,914.8325648,13.20376124
TS_01,15,49,93,928.0363261,12.31320697
TS_01,15,49,94,940.349533,11.8848106
TS_01,15,49,95,952.2343436,11.52768859
TS_01,15,49,96,963.7620322,10.29126615
TS_01,15,49,97,974.0532984,10.54860407
TS_01,15,49,98,984.6019024,10.03392823
TS_01,15,49,99,994.6358307,10.54860407
TS_01,15,49,100,1005.184435,9.243158049
TS_01,15,49,101,1014.427593,11.06177941
TS_01,15,49,102,1025.489372,"""NA"""
TS_02,13,64,1,10.99500659,1.203411162
TS_02,13,64,2,12.19841775,1.005343489
TS_02,13,64,3,13.20376124,1.283688589
TS_02,13,64,4,14.48744983,1.047357844
TS_02,13,64,5,15.53480768,1.408231141
TS_02,13,64,6,16.94303882,1.380471657
TS_02,13,64,7,18.32351047,2.127726966
TS_02,13,64,8,20.45123744,1.792362385
TS_02,13,64,9,22.24359982,1.456997803
TS_02,13,64,10,23.70059763,1.44124242
TS_02,13,64,11,25.14184005,1.142640398
TS_02,13,64,12,26.28448045,1.312948586
TS_02,13,64,13,27.59742903,1.359464479
TS_02,13,64,14,28.95689351,1.231170646
TS_02,13,64,15,30.18806416,1.587542405
TS_02,13,64,16,31.77560656,1.941663395
TS_02,13,64,17,33.71726996,2.043698257
TS_02,13,64,18,35.76096821,2.512608466
TS_02,13,64,19,38.27357668,3.491692984
TS_02,13,64,20,41.76526966,2.759442801
TS_02,13,64,21,44.52471247,3.21409814
TS_02,13,64,22,47.7388106,3.043789952
TS_02,13,64,23,50.78260056,2.842721254
TS_02,13,64,24,53.62532181,2.801457155
TS_02,13,64,25,56.42677897,2.807459206
TS_02,13,64,26,59.23423817,2.334797715
TS_02,13,64,27,61.56903589,2.508857185
TS_02,13,64,28,64.07789307,2.938003808
TS_02,13,64,29,67.01589688,3.593727845
TS_02,13,64,30,70.60962473,4.385248279
TS_02,13,64,31,74.994873,3.943347297
TS_02,13,64,32,78.9382203,4.330479566
TS_02,13,64,33,83.26869987,3.831559104
TS_02,13,64,34,87.10025897,4.002617548
TS_02,13,64,35,91.10287652,5.011712319
TS_02,13,64,36,96.11458884,4.542051853
TS_02,13,64,37,100.6566407,4.506789805
TS_02,13,64,38,105.1634305,3.958352424
TS_02,13,64,39,109.1217829,3.214848396
TS_02,13,64,40,112.3366313,3.746029881
TS_02,13,64,41,116.0826612,3.773039109
TS_02,13,64,42,119.8557003,4.322226747
TS_02,13,64,43,124.1779271,4.103151897
TS_02,13,64,44,128.281079,5.412349202
TS_02,13,64,45,133.6934282,5.100992823
TS_02,13,64,46,138.794421,5.276552805
TS_02,13,64,47,144.0709738,5.593911235
TS_02,13,64,48,149.664885,6.158103999
TS_02,13,64,49,155.822989,6.58575011
TS_02,13,64,50,162.4087391,5.556398418
TS_02,13,64,51,167.9651375,5.6134179
TS_02,13,64,52,173.5785554,7.591843855
TS_02,13,64,53,181.1703993,5.527138421
TS_02,13,64,54,186.6975377,6.930868024
TS_02,13,64,55,193.6284057,8.904792442
TS_02,13,64,56,202.5331982,7.939962795
TS_02,13,64,57,210.473161,8.990321664
TS_02,13,64,58,219.4634826,7.792912553
TS_02,13,64,59,227.2563952,8.903291929
TS_02,13,64,60,236.1596871,7.161196719
TS_02,13,64,61,243.3208838,7.385523363
TS_02,13,64,62,250.7064072,7.591093599
TS_02,13,64,63,258.2975008,10.22074205
